"Food","FCDB Food ID","Serving Size or CSM","Serving Size Unit","Quantity per 100 g","Nutrient Unit","Quantity per serve","Nutrient Unit","%DI Per Serve"
"Sake, dry","B40","100","mL","0.0","g","0.0","g",""
"Flavoured drink, dry powder, assorted flavours, Refresh, fortified vitamin C","C100","5","g","0.0","g","0.0","g",""
"Coffee, instant, caffeinated, dry powder with water & milk standard","C10001","250","mL","0.0","g","0.0","g",""
"Coffee, instant, decaffeinated, dry powder with water & milk standard","C10002","250","mL","0.0","g","0.0","g",""
"Coffee, instant, caffeinated, dry powder with water & milk trim","C10003","250","mL","0.0","g","0.0","g",""
"Coffee, instant, decaffeinated, dry powder with water & milk trim","C10004","250","mL","0.0","g","0.0","g",""
"Coffee, flat white, double shot & milk standard, regular cafe cup (190 mL)","C10005","190","mL","0.0","g","0.0","g",""
"Coffee, flat white, double shot & milk standard, regular takeaway cup (285 mL)","C10006","285","mL","0.0","g","0.0","g",""
"Coffee, flat white, single shot & milk standard, regular cafe cup (190 mL)","C10007","190","mL","0.0","g","0.0","g",""
"Coffee, flat white, single shot & milk standard, regular takeaway cup (285 mL)","C10008","285","mL","0.0","g","0.0","g",""
"Coffee, flat white, double shot & milk trim, regular cafe cup (190 mL)","C10009","190","mL","0.0","g","0.0","g",""
"Coffee, flat white, double shot & milk trim, regular takeaway cup (285 mL)","C10010","285","mL","0.0","g","0.0","g",""
"Coffee, flat white, single shot & milk trim, regular cafe cup (190 mL)","C10011","190","mL","0.0","g","0.0","g",""
"Coffee, flat white, single shot & milk trim, regular takeaway cup (285 mL)","C10012","285","mL","0.0","g","0.0","g",""
"Coffee, latte, double shot & milk standard, large cafe cup (300 mL)","C10013","300","mL","0.0","g","0.0","g",""
"Coffee, latte, double shot & milk standard, medium takeaway cup (400 mL)","C10014","400","mL","0.0","g","0.0","g",""
"Coffee, latte, single shot & milk standard, large cafe cup (300 mL)","C10015","300","mL","0.0","g","0.0","g",""
"Coffee, latte, single shot & milk standard, medium takeaway cup (400mL)","C10016","400","mL","0.0","g","0.0","g",""
"Coffee, latte, double shot & milk trim, large cafe cup (300 mL)","C10017","300","mL","0.0","g","0.0","g",""
"Coffee, latte, double shot & milk trim, medium takeaway cup (400 mL)","C10018","400","mL","0.0","g","0.0","g",""
"Coffee, latte, single shot & milk trim, large cafe cup (300 mL)","C10019","300","mL","0.0","g","0.0","g",""
"Coffee, latte, single shot & milk trim, medium takeaway cup (400 mL)","C10020","400","mL","0.0","g","0.0","g",""
"Coffee, cappuccino, double shot & milk standard, regular cafe cup (190 mL)","C10021","190","mL","0.0","g","0.0","g",""
"Coffee, cappuccino, double shot & milk standard, regular takeaway cup (285 mL)","C10022","285","mL","0.0","g","0.0","g",""
"Coffee, cappuccino, single shot & milk standard, regular cafe cup (190 mL)","C10023","190","mL","0.0","g","0.0","g",""
"Coffee, cappuccino, single shot & milk standard, regular takeaway cup (285 mL)","C10024","285","mL","0.0","g","0.0","g",""
"Coffee, cappuccino, double shot & milk trim, regular cafe cup (190 mL)","C10025","190","mL","0.0","g","0.0","g",""
"Coffee, cappuccino, double shot & milk trim, regular takeaway cup (285 mL)","C10026","285","mL","0.0","g","0.0","g",""
"Coffee, cappuccino, single shot & milk trim, regular cafe cup (190 mL)","C10027","190","mL","0.0","g","0.0","g",""
"Coffee, cappuccino, single shot & milk trim, regular takeaway cup (285 mL)","C10028","285","mL","0.0","g","0.0","g",""
"Coffee, mochaccino, double shot & milk standard, large cafe cup (300 mL)","C10029","300","mL","0.0","g","0.0","g",""
"Coffee, mochaccino, double shot & milk standard, medium takeaway cup (400 mL)","C10030","400","mL","0.0","g","0.0","g",""
"Coffee, mochaccino, single shot & milk standard, large cafe cup (300 mL)","C10031","300","mL","0.0","g","0.0","g",""
"Coffee, mochaccino, single shot & milk standard, medium takeaway cup (400 mL)","C10032","400","mL","0.0","g","0.0","g",""
"Coffee, mochaccino, double shot & milk trim, large cafe cup (300 mL)","C10033","300","mL","0.0","g","0.0","g",""
"Coffee, mochaccino, double shot & milk trim, medium takeaway cup (400 mL)","C10034","400","mL","0.0","g","0.0","g",""
"Coffee, mochaccino, single shot & milk trim, large cafe cup (300 mL)","C10035","300","mL","0.0","g","0.0","g",""
"Coffee, mochaccino, single shot & milk trim, medium takeaway cup (400 mL)","C10036","400","mL","0.0","g","0.0","g",""
"Drink, KoKo Samoa hot drink, ready to drink","C10037","250","mL","0.0","g","0.0","g",""
"Juice, tomato, sugar-sweetened, fortified vitamin C","C10038","250","mL","0.0","g","0.0","g",""
"Juice, tomato, unsweetened, fortified vitamin C","C10039","250","mL","0.0","g","0.0","g",""
"Flavoured drink, dry powder, assorted flavours, powder, Refresh Active, fortified vitamin C","C101","5","g","0.0","g","0.0","g",""
"Probiotic drink, assorted flavours, Activate Body Boost Shots®, Meadow Fresh, fortified vitamins A, B1, B3, B5, B6, C & E, & Zn","C1017","100","mL","0.0","g","0.0","g",""
"Smoothie, fruit with spirulina, fortified vitamin C","C1020","250","mL","0.0","g","0.0","g",""
"Smoothie, Spirulina Goodness Smoothie with Banana, Arano","C1021","250","mL","0.0","g","0.0","g",""
"Smoothie, berry, fortified vitamin C","C1022","250","mL","0.0","g","0.0","g",""
"Smoothie, Feijoa Smoothie, Simply Squeezed®, fortified vitamins A, C, E & folate, & Ca","C1023","250","mL","0.0","g","0.0","g",""
"Smoothie, Feijoa Fling Smoothie, SeJuice, fortified vitamin C","C1024","250","mL","0.0","g","0.0","g",""
"Kava, prepared","C1026","60","mL","0.0","g","0.0","g",""
"Drink, Fortisip® Vanilla, Nutricia","C1027","250","mL","0.0","g","0.0","g",""
"Juice concentrate, blackcurrant, frozen","C1028","50","mL","0.0","g","0.0","g",""
"Juice concentrate, boysenberry, frozen","C1029","50","mL","0.0","g","0.0","g",""
"Energy drink, assorted flavours, V™, Frucor, fortified vitamins B2, B3, B5, B6 & B12","C1030","250","mL","0.0","g","0.0","g",""
"Energy drink, sugar free, V™, Frucor, fortified  vitamins B2, B3, B5, B6 & B12","C1031","250","mL","0.0","g","0.0","g",""
"Sports water, assorted flavours, Mizone®, Frucor, fortified  vitamins B3, B5, B6, B12 & C","C1032","250","mL","0.0","g","0.0","g",""
"Sports drink, assorted flavours, Isopower, Mizone®, Frucor, fortified  vitamins B3, B5, B6 & B12","C1033","250","mL","0.0","g","0.0","g",""
"Sports drink, assorted flavours, Isopower, Low Carb, Mizone®, fortified vitamins B3, B5, B6, B12 & C","C1034","250","mL","0.0","g","0.0","g",""
"Baking cocoa, powder, Bournville®, Cadbury®","C1036","8","g","0.0","g","0.0","g",""
"Energy food drink, dry powder, Drinking Chocolate, Cadbury","C1037","15","g","0.0","g","0.0","g",""
"Tea, green, brewed","C1039","250","mL","0.0","g","0.0","g",""
"Tea, black, brewed","C1040","250","mL","0.0","g","0.0","g",""
"Tea, black, decaffeinated, brewed","C1041","250","mL","0.0","g","0.0","g",""
"Coffee, instant, dry powder","C1042","2","g","0.0","g","0.0","g",""
"Coffee, instant, decaffeinated, dry powder","C1043","2","g","0.0","g","0.0","g",""
"Coffee, espresso, cafe variety","C1045","70","mL","0.0","g","0.0","g",""
"Coffee, brewed from grounds, plunger prepared","C1046","250","mL","0.0","g","0.0","g",""
"Coffee, brewed from grounds, dripped prepared","C1047","250","mL","0.0","g","0.0","g",""
"Coffee, instant, caffeinated, dry powder with water","C1048","250","mL","0.0","g","0.0","g",""
"Coffee, instant, decaffeinated, dry powder with water","C1050","250","mL","0.0","g","0.0","g",""
"Coffee, long black, double shot, 285 mL, cafe variety","C1055","285","mL","0.0","g","0.0","g",""
"Juice, apple & blackcurrant, Fresh Up, fortified vitamin C","C107","250","mL","0.0","g","0.0","g",""
"Coffee, Americano, single shot, 150 mL, cafe variety","C1090","150","mL","0.0","g","0.0","g",""
"Coffee, Americano, single shot, 285 mL, cafe variety","C1091","285","mL","0.0","g","0.0","g",""
"Coffee, long black, double shot, 150 mL, cafe variety","C1092","150","mL","0.0","g","0.0","g",""
"Liquid breakfast, assorted flavours, Up&Go™, Sanitarium™, fortified vitamins A, B1, B2, B3, B6, B12, B6, C & folate","C1094","250","mL","0.0","g","0.0","g",""
"Liquid breakfast, assorted flavours, Up&Go™, Energize, Sanitarium™, fortified  vitamins A, B1, B2, B3, B6, B12, C & folate","C1095","250","mL","0.0","g","0.0","g",""
"Liquid breakfast, assorted flavours, Up&Go™, Vive™, Sanitarium™, fortified vitamins C, B3, A, B12, B6, B2, B1 & folate","C1096","250","mL","0.0","g","0.0","g",""
"Liquid breakfast, assorted flavours, Fast Start™, Anchor™, fortified vitamins A, B1, B2, B3, B6, B12, D & folate","C1097","250","mL","0.0","g","0.0","g",""
"Juice, orange, unsweetened, shelf-stable or refrigerated, Arano","C1098","250","mL","0.0","g","0.0","g",""
"Juice, orange, unsweetened, fortified vitamin C","C1099","250","mL","0.0","g","0.0","g",""
"Juice, grapefruit, sweetened, canned","C11","250","mL","0.0","g","0.0","g",""
"Juice, orange, sweetened, fortified vitamin C","C1100","250","mL","0.0","g","0.0","g",""
"Fruit drink, orange, unsweetened, fortified vitamin C","C1102","250","mL","0.0","g","0.0","g",""
"Fruit drink orange, sweetened, fortified vitamin C","C1103","250","mL","0.0","g","0.0","g",""
"Fruit drink, cranberry, sweetened","C1104","250","mL","0.0","g","0.0","g",""
"Fruit drink, cranberry, sweetened, fortified vitamin C","C1105","250","mL","0.0","g","0.0","g",""
"Fruit drink, cranberry, unsweetened","C1106","250","mL","0.0","g","0.0","g",""
"Fruit drink, blackcurrant, sweetened","C1107","250","mL","0.0","g","0.0","g",""
"Fruit drink, blackcurrant, sweetened, fortified vitamin C","C1108","250","mL","0.0","g","0.0","g",""
"Soft drink, cola flavour, sugar-sweetened, caffeinated","C1112","250","mL","0.0","g","0.0","g",""
"Soft drink, carbonated, cola flavour, artificially sweetened, non-caffeinated","C1113","250","mL","0.0","g","0.0","g",""
"Soft drink, cola flavour, reduced sugar, caffeinated","C1114","250","mL","0.0","g","0.0","g",""
"Soft drink, carbonated, cola flavour, artificially sweetened, caffeinated","C1115","250","mL","0.0","g","0.0","g",""
"Soft drink, carbonated, lemon flavour, sugar-sweetened","C1116","250","mL","0.0","g","0.0","g",""
"Soft drink, lemon flavour, reduced sugar","C1117","250","mL","0.0","g","0.0","g",""
"Soft drink, carbonated, lemon flavour, artificially sweetened","C1118","250","mL","0.0","g","0.0","g",""
"Soft drink, carbonated, assorted fruit flavours, sugar-sweetened","C1119","250","mL","0.0","g","0.0","g",""
"Juice, grapefruit, McCoy™, fortified vitamin C","C112","250","mL","0.0","g","0.0","g",""
"Soft drink, assorted fruit flavours, reduced sugar","C1120","250","mL","0.0","g","0.0","g",""
"Soft drink, assorted tea flavours, sugar-sweetened","C1121","250","mL","0.0","g","0.0","g",""
"Soft drink, assorted tea flavours, reduced sugar","C1122","250","mL","0.0","g","0.0","g",""
"Soft drink, assorted tea flavours, artificially sweetened","C1123","250","mL","0.0","g","0.0","g",""
"Almond milk, unsweetened","C1127","250","mL","0.0","g","0.0","g",""
"Almond and coconut milk blend, sugar-sweetened, fortified Ca and vitamins B1, B2 & B12","C1128","250","mL","0.0","g","0.0","g",""
"Almond and coconut milk blend, unsweetened, fortified Ca and vitamins B1, B2 & B12","C1129","250","mL","0.0","g","0.0","g",""
"Coconut water, unsweetened","C1130","250","mL","0.0","g","0.0","g",""
"Juice concentrate, blackcurrant, sugar-sweetened, fortified vitamin C","C1132","50","mL","0.0","g","0.0","g",""
"Juice concentrate, lemon or lime, sugar-sweetened, fortified vitamin C","C1133","50","mL","0.0","g","0.0","g",""
"Soft drink, ginger beer, sugar-sweetened","C1134","250","mL","0.0","g","0.0","g",""
"Soft drink, ginger beer, artificially sweetened, diet","C1135","250","mL","0.0","g","0.0","g",""
"Coconut milk, unsweetened","C1136","250","mL","0.0","g","0.0","g",""
"Coconut milk, sugar-sweetened, ready to drink","C1137","250","mL","0.0","g","0.0","g",""
"Juice, pineapple, Golden Circle™, fortified vitamin C","C114","250","mL","0.0","g","0.0","g",""
"Juice concentrate, blackcurrant, reduced sugar, fortified vitamin C","C1140","50","mL","0.0","g","0.0","g",""
"Juice concentrate, lemon or lime, reduced sugar, fortified vitamin C","C1141","50","mL","0.0","g","0.0","g",""
"Almond milk, sweetened, fortified Ca and vitamins B1 & B12","C1152","250","mL","0.0","g","0.0","g",""
"Almond milk, sweetened, fortified Ca","C1153","250","mL","0.0","g","0.0","g",""
"Almond milk, unsweetened, fortified Ca and vitamins B1 & B12","C1155","250","mL","0.0","g","0.0","g",""
"Drink, almond milk, unsweetened, ready to drink, fortified Ca","C1156","250","mL","0.0","g","0.0","g",""
"Soft drink, ginger beer, reduced sugar","C1158","250","mL","0.0","g","0.0","g",""
"Juice, Caribbean, Just Juice, fortified vitamin C","C116","250","mL","0.0","g","0.0","g",""
"Tea, fermented (kombucha), with cane sugar, ready to drink","C1161","250","mL","0.0","g","0.0","g",""
"Tea, fermented (kombucha), with fruit juices, ready to drink","C1162","250","mL","0.0","g","0.0","g",""
"Tea, fermented (Kombucha), with intense sweetener, ready to drink","C1163","250","mL","0.0","g","0.0","g",""
"Juice, apple, with apple pulp, unsweetened, refrigerated, ready to drink, fortified vitamin C","C1165","250","mL","0.0","g","0.0","g",""
"Juice, apple, with apple pulp, unsweetened, refrigerated","C1166","250","mL","0.0","g","0.0","g",""
"Juice, apple, unsweetened, shelf-stable, fortified vitamin C","C1167","250","mL","0.0","g","0.0","g",""
"Fruit drink, from apple juice, sugar-sweetened, shelf-stable, fortified vitamin C","C1168","250","mL","0.0","g","0.0","g",""
"Fruit drink, from apple juice, sweetened with intensive sweetener, shelf-stable, ready to drink","C1169","250","mL","0.0","g","0.0","g",""
"Juice, apple & mango, Golden Circle™, fortified vitamin C","C117","250","mL","0.0","g","0.0","g",""
"Juice, dark grape, McCoy™, fortified vitamin C","C118","250","mL","0.0","g","0.0","g",""
"Juice, grapefruit, unsweetened","C12","250","mL","0.0","g","0.0","g",""
"Juice, mango & calamansi, Just Juice®, fortified vitamin C","C120","250","mL","0.0","g","0.0","g",""
"Juice, orange, peach & passionfruit, Just Juice®, fortified vitamin C","C123","250","mL","0.0","g","0.0","g",""
"Juice concentrate, orange, Pinto, fortified vitamin C","C131","50","mL","0.0","g","0.0","g",""
"Juice, apple & blackcurrant, Golden Circle™, fortified vitamin C","C137","250","mL","0.0","g","0.0","g",""
"Flavoured drink, assorted fruit flavours, dry powder, Vitafresh™, Hansells, fortified vitamin C","C138","3","g","0.0","g","0.0","g",""
"Sports drink, flavoured, E2™","C143","250","mL","0.0","g","0.0","g",""
"Juice, pineapple, canned","C15","250","mL","0.0","g","0.0","g",""
"Rosehip syrup","C22","33","mL","0.0","g","0.0","g",""
"Tea, Indian, brewed","C24","250","mL","0.0","g","0.0","g",""
"Juice, grape","C26","250","mL","0.0","g","0.0","g",""
"Juice concentrate, apple & orange, Fresh Up®","C31","50","mL","0.0","g","0.0","g",""
"Juice concentrate, apple & mango, Fresh Up®","C32","50","mL","0.0","g","0.0","g",""
"Juice concentrate, apple, unsweetened, Fresh Up®","C33","50","mL","0.0","g","0.0","g",""
"Juice, apple and orange, unsweetened, Fresh Up®, fortified vitamin C","C34","250","mL","0.0","g","0.0","g",""
"Juice, apple, apricot & orange, unsweetened, Fresh Up®, fortified vitamin C","C35","250","mL","0.0","g","0.0","g",""
"Juice, orange & mango, Just Juice®, fortified vitamin C","C37","250","mL","0.0","g","0.0","g",""
"Juice, orange with apple base, Just Juice®, fortified vitamin C","C38","250","mL","0.0","g","0.0","g",""
"Juice, tropical with apple base, fortified vitamin C","C39","250","mL","0.0","g","0.0","g",""
"Water, tap","C40","250","mL","0.0","g","0.0","g",""
"Water, bottled, New Zealand","C41","250","mL","0.0","g","0.0","g",""
"Water, bottled, imported","C42","250","mL","0.0","g","0.0","g",""
"Juice, apple and mango, unsweetened, Fresh Up®, fortified vitamin C","C45","250","mL","0.0","g","0.0","g",""
"Flavoured drink, orange","C47","200","mL","0.0","g","0.0","g",""
"Flavoured drink, dry power, orange & mango","C48","5","g","0.0","g","0.0","g",""
"Flavoured drink, raspberry, dry powder with water","C50","200","mL","0.0","g","0.0","g",""
"Flavoured drink, dry powder, navel orange","C51","5","g","0.0","g","0.0","g",""
"Flavoured drink, lemon & barley, dry powder","C52","5","g","0.0","g","0.0","g",""
"Juice concentrate, orange & mango","C54","50","mL","0.0","g","0.0","g",""
"Juice concentrate, orange","C55","50","mL","0.0","g","0.0","g",""
"Flavoured drink, navel orange, dry powder with water","C57","250","mL","0.0","g","0.0","g",""
"Flavoured drink, lemon & barley, dry powder with water","C58","250","mL","0.0","g","0.0","g",""
"Flavoured drink, powder, raspberry","C59","5","g","0.0","g","0.0","g",""
"Syrup, Coffee and Chicory Essence","C6","20","mL","0.0","g","0.0","g",""
"Fruit drink, orange & mango, diluted from juice concentrate","C60","250","mL","0.0","g","0.0","g",""
"Flavoured drink, orange, low energy, dry powder with water","C61","250","mL","0.0","g","0.0","g",""
"Flavoured drink, dry powder, orange, low energy,","C63","14","g","0.0","g","0.0","g",""
"Cocoa, instant, dry powder, KoKo Samoa","C67","2","g","0.0","g","0.0","g",""
"Coffee beans, ground, roasted","C7","2","g","0.0","g","0.0","g",""
"Tea, herbal, brewed","C76","250","mL","0.0","g","0.0","g",""
"Coffee substitute, dry powder, cereal grain beverage","C77","2","g","0.0","g","0.0","g",""
"Tea, fruit, ready to drink","C78","250","mL","0.0","g","0.0","g",""
"Juice, lime, unsweetened, canned","C80","250","mL","0.0","g","0.0","g",""
"Soft drink, soda water","C81","250","mL","0.0","g","0.0","g",""
"Tea beverage, instant, dry powder, lemon flavoured, sweetened","C82","16","g","0.0","g","0.0","g",""
"Sports drink, dry powder, Powerade®","C83","16","g","0.0","g","0.0","g",""
"Sports drink, ready to drink, Gatorade®","C86","250","mL","0.0","g","0.0","g",""
"Juice, carrot, canned","C90","250","mL","0.0","g","0.0","g",""
"Juice concentrate, Orange & Barley Syrup, Baker Halls, fortified vitamin C","C96","37","mL","0.0","g","0.0","g",""
"Flavoured drink, dry powder, assorted flavours, Raro®","C99","16","g","0.0","g","0.0","g",""
"Porridge, oats, rolled, prepared with standard milk, unsweetened","D10001","265","g","0.0","g","0.0","g",""
"Porridge, oats, rolled, prepared with trim milk, unsweetened","D10002","260","g","0.0","g","0.0","g",""
"Porridge, oats, quick sachets, plain, sweetened with honey and/or sugar, prepared with standard milk","D10003","160","g","0.0","g","0.0","g",""
"Porridge, oats, quick sachets, plain, sweetened with honey and/or sugar, prepared with trim milk","D10004","160","g","0.0","g","0.0","g",""
"Porridge, oats, quick sachets, assorted fruits flavoured, sugar-sweetened, prepared with standard milk","D10005","160","g","0.0","g","0.0","g",""
"Porridge, oats, quick sachets, assorted fruits flavoured, sugar-sweetened, prepared with trim milk","D10006","160","g","0.0","g","0.0","g",""
"Frosties®, Kellogg's®, fortified vitamins B1, B2, B3, C, E & folate, Fe & Zn","D1025","40","g","0.0","g","0.0","g",""
"Weeties™, Sanitarium™","D1035","52","g","0.0","g","0.0","g",""
"Fruitful Breakfast, Hubbards","D1036","50","g","0.0","g","0.0","g",""
"Nutri-Grain®, Kellogg's®, fortified vitamins B1, B2, B3, B6, C & folate, Ca & Fe","D1037","37","g","0.0","g","0.0","g",""
"Coco Pops®, Kellogg's®, fortified vitamins B1, B2, B3, C & folate, Ca, Fe & Zn","D1038","52","g","0.0","g","0.0","g",""
"Breakfast cereals, rice puffed, cocoa coated, fortified vitamins B1, B2, B3 & folate, & Fe","D1041","63","g","0.0","g","0.0","g",""
"Light 'n' Tasty™, Sanitarium™, fortified vitamins B1, B2, B3 & folate, Ca & Fe","D1044","79","g","0.0","g","0.0","g",""
"Cluster Crisp™, Sanitarium™, fortified vitamins B1, B2, B3 & folate, & Fe","D1045","50","g","0.0","g","0.0","g",""
"All Bran® Original, Kellogg's®, fortified vitamins B1, B2 & folate","D1046","45","g","0.0","g","0.0","g",""
"Light 'n' Tasty™, Apricot, Sanitarium™, fortified vitamins B1, B2, B3, E & folate, Ca & Fe","D1049","78","g","0.0","g","0.0","g",""
"Light 'n' Tasty™, Berry, Sanitarium™, fortified vitamins B1, B2, B3 & folate, Ca & Fe","D1050","82","g","0.0","g","0.0","g",""
"Light 'n' Tasty™, Peach & Raspberry, Sanitarium™, fortified vitamins B1, B2, B3, E & folate, Ca & Fe","D1051","76","g","0.0","g","0.0","g",""
"Cluster Crisp™, Vanilla Almond, Sanitarium™, fortified vitamins, B1, B2, B3 & folate, & Fe","D1052","50","g","0.0","g","0.0","g",""
"Cluster Crisp™, Manuka Honey with Roasted Cashew, Sanitarium™, fortified vitamins B1, B2, B3 & folate, & Fe","D1053","50","g","0.0","g","0.0","g",""
"Weet-Bix™, Sanitarium™, fortified vitamins B1, B2, B3 & folate & Fe","D1056","34","g","0.0","g","0.0","g",""
"Skippy™ Cornflakes, Sanitarium™, fortified vitamins B1, B2, B3 & folate & Fe","D1057","33","g","0.0","g","0.0","g",""
"Porridge, oats, rolled, prepared with water, unsweetened, no salt added","D1060","261","g","0.0","g","0.0","g",""
"Oats, quick sachets, plain, sweetened with honey and/or sugar, dry","D1061","35","g","0.0","g","0.0","g",""
"Oats, quick sachets, assorted fruits flavoured, sugar-sweetened, dry","D1062","35","g","0.0","g","0.0","g",""
"Porridge, oats, plain, sweetened with honey and/or sugar, prepared with water","D1066","160","g","0.0","g","0.0","g",""
"Porridge, oats, assorted fruits flavoured, sugar-sweetened, prepared with water","D1069","160","g","0.0","g","0.0","g",""
"Porridge, prepared with water, salt added","D22","260","g","0.0","g","0.0","g",""
"Bean, black, seed, dry","E100","65","g","0.0","g","0.0","g",""
"Flour, sorghum","E10009","128","g","0.0","g","0.0","g",""
"Flour, rye","E10010","122","g","0.0","g","0.0","g",""
"Flour, buckwheat","E10011","127","g","0.0","g","0.0","g",""
"Flour, barley","E10012","156","g","0.0","g","0.0","g",""
"Grain, buckwheat","E10013","180","g","0.0","g","0.0","g",""
"Rice, Sushi, cooked, from California roll","E1014","143","g","0.0","g","0.0","g",""
"Oats, toasted, Rolled Oats, Harraways™","E1015","45","g","0.0","g","0.0","g",""
"Rice, wild, cooked","E1016","173","g","0.0","g","0.0","g",""
"Wheat, sprouted","E1020","190","g","0.0","g","0.0","g",""
"Oats, toasted, Rolled Oats, Uncle Tobys®","E1021","40","g","0.0","g","0.0","g",""
"Oats, Traditional Wholegrain Oats, Harraways™","E1022","40","g","0.0","g","0.0","g",""
"Quinoa, uncooked","E1024","60","g","0.0","g","0.0","g",""
"Quinoa, cooked","E1025","146","g","0.0","g","0.0","g",""
"Oats, rolled, raw, Australia","E1042","30","g","0.0","g","0.0","g",""
"Wafer, wholegrain rice","E1043","26","g","0.0","g","0.0","g",""
"Rice, white, Basmati, boiled, undrained","E1046","162","g","0.0","g","0.0","g",""
"Noodle, rice, dry","E1051","258","g","0.0","g","0.0","g",""
"Noodle, rice flour, dry, boiled, drained","E1053","222","g","0.0","g","0.0","g",""
"Noodle, shelf-fresh, uncooked, Japanese Udon Noodles","E1055","152","g","0.0","g","0.0","g",""
"Noodle, shelf-fresh, boiled, drained, Japanese udon noodles","E1056","186","g","0.0","g","0.0","g",""
"Noodle, shelf-fresh, stir fried, Japanese udon noodles","E1057","192","g","0.0","g","0.0","g",""
"Pasta, white wheat flour, assorted shapes, regular, boiled, drained, no salt added","E1064","125","g","0.0","g","0.0","g",""
"Pasta, wholemeal wheat flour, assorted shapes, boiled, drained, no salt added","E1066","111","g","0.0","g","0.0","g",""
"Rice, creamed, canned","E1069","258","g","0.0","g","0.0","g",""
"Couscous, wholemeal wheat, cooked in water, not drained, no salt or fat added","E1071","128","g","0.0","g","0.0","g",""
"Oats, rolled, raw, New Zealand","E1075","130","g","0.0","g","0.0","g",""
"Oats, wholegrain, raw, New Zealand","E1076","130","g","0.0","g","0.0","g",""
"Rice, white, regular, assorted grains, raw, dry","E1077","225","g","0.0","g","0.0","g",""
"Rice, white, assorted grains, cooked in unsalted water","E1078","158","g","0.0","g","0.0","g",""
"Flour, rice, white","E1081","150","g","0.0","g","0.0","g",""
"Flour, almond","E1085","100","g","0.0","g","0.0","g",""
"Flour, chickpea or channa (besan), yellow","E1086","130","g","0.0","g","0.0","g",""
"Flour, coconut","E1087","130","g","0.0","g","0.0","g",""
"Flour, gluten free","E1093","135","g","0.0","g","0.0","g",""
"Flour, gluten free, self-raising","E1094","135","g","0.0","g","0.0","g",""
"Flour or meal, from hemp seed, defatted","E1096","160","g","0.0","g","0.0","g",""
"Flour, semolina","E11","168","g","0.0","g","0.0","g",""
"Pasta, wheat flour with egg, dry","E115","45","g","0.0","g","0.0","g",""
"Pasta, wheat flour with egg, boiled, drained","E118","120","g","0.0","g","0.0","g",""
"Flour, soy, full fat","E12","68","g","0.0","g","0.0","g",""
"Rice, white, cooked, Chinese, takeaway restaurant","E133","148","g","0.0","g","0.0","g",""
"Rice, white, steamed, Thai restaurant","E134","145","g","0.0","g","0.0","g",""
"Flour, soy, reduced fat","E14","97","g","0.0","g","0.0","g",""
"Maize, wholegrain, dry","E21","88","g","0.0","g","0.0","g",""
"Oatmeal, dry","E22","45","g","0.0","g","0.0","g",""
"Rye, wholegrain flakes, raw","E29","45","g","0.0","g","0.0","g",""
"Barley, pearl, boiled","E3","83","g","0.0","g","0.0","g",""
"Sago, raw","E30","80","g","0.0","g","0.0","g",""
"Tapioca, pearl, dry","E34","160","g","0.0","g","0.0","g",""
"Wheat, wholegrain, raw, North Island","E35","181","g","0.0","g","0.0","g",""
"Wheat germ, North Island","E37","69","g","0.0","g","0.0","g",""
"Barley, pearl, raw","E4","106","g","0.0","g","0.0","g",""
"Yoghurt, soy","E43","100","g","0.0","g","0.0","g",""
"Bulgur, dry","E51","70","g","0.0","g","0.0","g",""
"Flour, sago","E53","227","g","0.0","g","0.0","g",""
"Custard, dry powder","E6","4","g","0.0","g","0.0","g",""
"Pasta, fresh, ravioli, beef, bell pepper, olive, tomato & garlic, cooked","E60","171","g","0.0","g","0.0","g",""
"Rice, white, Uncle Ben's®, parboiled, raw","E61","93","g","0.0","g","0.0","g",""
"Cornflakes, sugar coated, Ralston Purina","E62","38","g","0.0","g","0.0","g",""
"Spaghetti, in tomato sauce with cheese, canned","E64","265","g","0.0","g","0.0","g",""
"Flour, pastry","E67","130","g","0.0","g","0.0","g",""
"Bulgur, boiled","E68","192","g","0.0","g","0.0","g",""
"Semolina, raw","E69","50","g","0.0","g","0.0","g",""
"Flour, arrowroot","E7","7","g","0.0","g","0.0","g",""
"Semolina, cooked","E73","245","g","0.0","g","0.0","g",""
"Noodle, mung bean, dehydrated","E74","140","g","0.0","g","0.0","g",""
"Wafer, tangy tomato, sour cream & chives","E77","28","g","0.0","g","0.0","g",""
"Wafer, crispy bacon, Healtheries®","E78","35","g","0.0","g","0.0","g",""
"Wheat, kibbled, South Island","E80","145","g","0.0","g","0.0","g",""
"Flavour, dry powder, instant noodle","E83","19","g","0.0","g","0.0","g",""
"Flour, corn","E9","8","g","0.0","g","0.0","g",""
"Cornmeal, wholegrain, yellow","E99","61","g","0.0","g","0.0","g",""
"Butter, cultured","F1","5","g","0.0","g","0.0","g",""
"Sour cream, from cow’s milk and cream, regular fat (20%)","F10002","15","g","0.0","g","0.0","g",""
"Sour cream, from cow’s milk and cream, lite (10% fat)","F10003","15","g","0.0","g","0.0","g",""
"Cottage cheese, from cow’s milk, regular fat (5%)","F10004","17","g","0.0","g","0.0","g",""
"Cottage cheese, from cow’s milk, lite (1% fat)","F10005","17","g","0.0","g","0.0","g",""
"Cream, from cow's milk, plain, regular fat (35% fat), refrigerated","F10006","15","g","0.0","g","0.0","g",""
